classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
DNA BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,62,,1B4O,6958.13
TRANSFERASE,,,2.32,47,X-RAY DIFFRACTION,Protein,"PROTEIN CONC. 10 MG/ML, 25 MM TRIS BUFFER (PH 8.0), 1 MM EDTA, 0.3% OCTYL BETA- D-GLUCOPYRANOSIDE, 2 MM PRODUCT INHIBITOR (GPS)",8,,217,1.7,1B4P,27032.03
OXIDOREDUCTASE,,,,,SOLUTION NMR,Protein,,,1998,105,,1B4Q,11899.58
MEMBRANE PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,80,,1B4R,7963.91
PHOSPHOTRANSFERASE,,,2.14,42.44,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,465,2.5,1B4S,51845.16
OXIDOREDUCTASE,,,3.25,61.7,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,153,1.8,1B4T,15872.79
DIOXYGENASE,,,2.66,53.76,X-RAY DIFFRACTION,Protein,pH 7.4,7.4,1999,882,2.2,1B4U,98200.95
OXIDOREDUCTASE,"VAPOR DIFFUSION, HANGING DROP",,2.2,44,X-RAY DIFFRACTION,Protein,"PRECIPITANT CONDITIONS: 10-   12% PEG 8000, 100MM SODIUM CACODYLATE PH 5.2, 75MM MNSO4 PROTEIN CONCENTRATION   8.5MG/ML, VAPOR DIFFUSION, HANGING DROP",5.2,1999,504,1.5,1B4V,55755.23
HYDROLASE,,,2.45,50,X-RAY DIFFRACTION,Protein,"THE PROTEIN SOLUTIONS CONTAINED 0.1M LI2SO4, 9% PEG 4K AND 0.3% N-OCTYL BETA-  D-GLUCOPYRANOSIDE IN 0.01M TRIS-HCL BUFFER(PH 8.5) AND AN ENZYME CONCENTRATION  OF 8MG/ML; THE SOLUTION IN RESERVOIR CONTAINED 18% PEG 4K IN SAME BUFFER, ROOM  TEMPERATURE OF 17DEG.C.",8.5,2000,488,2.6,1B4W,56277.41
TRANSFERASE,,,3.1,61,X-RAY DIFFRACTION,Protein,pH 7.50,7.5,2000,396,2.45,1B4X,43966.36
DNA,,,,,SOLUTION NMR,DNA,,,1999,30,,1B4Y,9072.82
PEPTIDE BINDING PROTEIN,,,2.47,50,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,1.75,1B4Z,61784.93
CHEMOKINE,,,,,SOLUTION NMR,Protein,,,1999,138,,1B50,15357.15
PEPTIDE BINDING PROTEIN,,,2.49,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,1.8,1B51,61672.69
PEPTIDE BINDING PROTEIN,,,2.39,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,2.3,1B52,59796.52
CHEMOKINE,,,,,SOLUTION NMR,Protein,,,1999,138,,1B53,15357.15
HYPOTHETICAL PROTEIN,,,2.5,52,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,2003,257,2.1,1B54,29411.38
TRANSFERASE,,,4.09,69.7,X-RAY DIFFRACTION,Protein,pH 4.9,4.9,1999,338,2.4,1B55,41097
LIPID BINDING PROTEIN,,,2.55,52,X-RAY DIFFRACTION,Protein,pH 6.0,6,1999,135,2.05,1B56,15441.88
LYASE,,,4.27,71,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,716,2,1B57,79001.3
PEPTIDE BINDING PROTEIN,,,2.56,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,1.8,1B58,61478.76
HYDROLASE,,,2.12,42,X-RAY DIFFRACTION,Protein,"15-30% T-BUTANOL, 50MM CITRATE BUFFER PH=5.2-5.4",5.4,1998,370,1.8,1B59,41869.33
ELECTRON TRANSPORT,,,,,SOLUTION NMR,Protein,,,1998,94,,1B5A,11430.39
ELECTRON TRANSPORT,,,,,SOLUTION NMR,Protein,,,1998,94,,1B5B,11430.39
ELECTRON TRANSPORT,,,2.09,41.03,X-RAY DIFFRACTION,,,,1972,0,,1B5C,10422.27
TRANSFERASE,,,2.65,54,X-RAY DIFFRACTION,Protein,pH 8.0,8,1999,492,2.2,1B5D,57660.85
TRANSFERASE,,,2.65,54,X-RAY DIFFRACTION,Protein,pH 8.0,8,1999,492,1.6,1B5E,57660.85
HYDROLASE,,,2.26,46,X-RAY DIFFRACTION,Protein,"LYOPHILIZED PROTEIN DISSOLVED IN WATER TO 12 MG/ML, SITTING DROPS OF PROTEIN SOLUTION AN ALIQUOTA OF PRECIPITANT SOLUTION, COMPOSED OF PEG 4 K 40%, SODIUM CITRATE BUFFER 0.1 M AND AMMONIUM ACETATE 0.2 M, pH 5.5",5.5,1999,652,1.72,1B5F,74656.62
HYDROLASE/HYDROLASE INHIBITOR,,,2.6,49,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 15% PEG 8000, 75 MM NAPO4, PH 7.3, 187 MM NACL, 1 MM NAN3; THEN SOAKED IN 7 MM INHIBITOR.",7.3,1999,307,2.07,1B5G,36022.01
PEPTIDE BINDING PROTEIN,,,2.46,49.91,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,520,1.9,1B5H,61145.68
PEPTIDE BINDING PROTEIN,,,2.48,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,1.9,1B5I,61173.7
PEPTIDE BINDING PROTEIN,,,2.45,45,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,520,1.8,1B5J,61187.72
DNA,,,,,SOLUTION NMR,DNA,,,1996,22,,1B5K,6707.4
CYTOKINE,,,1.71,28,X-RAY DIFFRACTION,Protein,pH 4.8,4.8,1999,172,2.1,1B5L,20127.81
ELECTRON TRANSPORT,vapor diffusion with slow evaporation,,2.56,52.02,X-RAY DIFFRACTION,Protein,"CRYSTALS WERE OBTAINED BY VAPOR DIFFUSION TOGETHER WITH SLOW EVAPORATION USING 20% PEG 8000 IN 0.1M SODIUM CACODYLATE (PH = 6.5 WITH 0.2 M MAGNESIUM ACETATE., vapor diffusion with slow evaporation",6.5,1996,84,2.7,1B5M,10222.06
SIGNALING PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,23,,1B5N,2511.83
TRANSFERASE,,,2.57,52,X-RAY DIFFRACTION,Protein,"CRYSTALLIZED FROM 300MM AMMONIUM PHOSPHATE, PH 4.3",4.3,2001,770,2.2,1B5O,84805.89
TRANSFERASE,,,2.57,52,X-RAY DIFFRACTION,Protein,"CRYSTALLIZED FROM 300MM AMMONIUM PHOSPHATE, PH 4.3",4.3,2001,770,1.8,1B5P,84946.12
OXIDOREDUCTASE,,,4.3,71.37,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1999,1416,1.9,1B5Q,165880.64
ACYLTRANSFERASE,,,3.01,59.1,X-RAY DIFFRACTION,Protein,pH 7,7,1999,1210,4.4,1B5S,132183.92
OXIDOREDUCTASE,,,2.99,58.84,X-RAY DIFFRACTION,Protein,pH 6.0,6,1999,825,2.5,1B5T,95304.73
HYDROLASE,,,2,38,X-RAY DIFFRACTION,Protein,"1.5M TO 1.8M NACL, 20MM ACETATE, PH 4.5",4.5,1999,130,1.8,1B5U,14727.68
HYDROLASE,,,2,38,X-RAY DIFFRACTION,Protein,"1.5M TO 1.8M NACL, 20MM ACETATE, PH 4.5",4.5,1999,130,2.17,1B5V,14798.59
HYDROLASE,,,2,38,X-RAY DIFFRACTION,Protein,"1.5M TO 1.8M NACL, 20MM ACETATE, PH 4.5",4.5,1999,130,2.17,1B5W,14798.59
HYDROLASE,,,2,38,X-RAY DIFFRACTION,Protein,"1.5M TO 1.8M NACL, 20MM ACETATE, PH 4.5",4.5,1999,130,2,1B5X,14727.68
HYDROLASE,,,2,38,X-RAY DIFFRACTION,Protein,"1.5M TO 1.8M NACL, 20MM ACETATE, PH 4.5",4.5,1999,130,2.2,1B5Y,14727.68
HYDROLASE,,,2.6,54,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,260,2.2,1B5Z,29409.39
DNA,,,,,SOLUTION NMR,DNA,,,2000,22,,1B60,6692.39
DNA MISMATCH REPAIR,,,2.7,55,X-RAY DIFFRACTION,Protein,pH 8.5,8.5,1999,355,2.1,1B62,40297.71
DNA MISMATCH REPAIR,,,2.87,55,X-RAY DIFFRACTION,Protein,pH 8.5,8.5,1999,333,1.9,1B63,37869.98
GUANINE NUCLEOTIDE EXCHANGE FACTOR,,,,,SOLUTION NMR,Protein,,,1999,91,,1B64,10148.63
HYDROLASE,,,2.43,49,X-RAY DIFFRACTION,Protein,pH 9.0,9,2000,2250,1.82,1B65,242745.09
TETRAHYDROBIOPTERIN BIOSYNTHESIS,,,4.03,69.45,X-RAY DIFFRACTION,Protein,pH 9.2,9.2,1999,280,1.9,1B66,32355.58
DNA BINDING PROTEIN,,,2.03,39.28,X-RAY DIFFRACTION,Protein,"CRYSTALLISATION IN HANGING DROP RESERVOIR: 2.6 M (NH4)2SO4 PROTEIN WAS MIXED 1   TO 1 WITH RESERVOIR SOLUTION, pH 6.5",6.5,2000,136,1.48,1B67,14861.36
LIPID TRANSPORT,"VAPOR DIFFUSION, HANGING DROP",298,2.18,43.6,X-RAY DIFFRACTION,Protein,"WELL : 28% PEG 400, 20MM                 NAOAC, PH 6.0, 0.1% BME PROTEIN SOLN: 40MM (NH4)H(CO3),             7MG/ML PROTEIN DROPS : WELL/PROTEIN 1/3, ROOM TEMPERATURE, pH 6.00, VAPOR DIFFUSION, HANGING DROP, temperature 298K",6,2001,191,2,1B68,22216.13
INTEGRASE/DNA,,,,,SOLUTION NMR,Protein#DNA,,,1999,95,,1B69,16117.55
ANGIOGENESIS INHIBITOR,,,2.12,42,X-RAY DIFFRACTION,Protein,pH 5.40,5.4,1998,478,1.6,1B6A,53493.29
TRANSFERASE,,,2.46,51,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,348,2.5,1B6B,39112.95
COMPLEX (ISOMERASE/PROTEIN KINASE),,,2.6,52,X-RAY DIFFRACTION,Protein,pH 8.5,8.5,1999,1796,2.6,1B6C,203412.84
IMMUNOGLOBULIN,,,2.77,56,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,424,2.74,1B6D,46022.89
NK CELL,,,3.4,63.7,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,128,2.6,1B6E,15004.53
PLANT PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,159,,1B6F,17443.56
HYDROLASE,,,1.89,35,X-RAY DIFFRACTION,Protein,pH 5.0,5,1999,310,1.15,1B6G,36385.78
PEPTIDE BINDING PROTEIN,,,2.46,50.04,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,520,1.8,1B6H,61158.72
HYDROLASE,,,2.8,48,X-RAY DIFFRACTION,Protein,pH 7.0,7,2000,164,1.9,1B6I,18758.62
HYDROLASE/HYDROLASE INHIBITOR,,,2.17,43.31,X-RAY DIFFRACTION,Protein,0.1 M ACETATE BUFFER PH 5.5 AND 30-60% AMMONIUM SULFATE,5.5,1999,204,1.85,1B6J,22585.19
HYDROLASE/HYDROLASE INHIBITOR,,,2.2,43.99,X-RAY DIFFRACTION,Protein,0.1 M ACETATE BUFFER PH 5.5 AND 30-60% AMMONIUM SULFATE,5.5,1999,198,1.85,1B6K,22499.41
HYDROLASE/HYDROLASE INHIBITOR,,,2.17,43.42,X-RAY DIFFRACTION,Protein,0.1 M ACETATE BUFFER PH 5.5 AND 30-60% AMMONIUM SULFATE,5.5,1999,198,1.75,1B6L,22365.23
HYDROLASE/HYDROLASE INHIBITOR,,,2.18,43.46,X-RAY DIFFRACTION,Protein,0.1 M ACETATE BUFFER PH 5.5 AND 30-60% AMMONIUM SULFATE,5.5,1999,198,1.85,1B6M,22416.32
HYDROLASE/HYDROLASE INHIBITOR,,,2.18,43.66,X-RAY DIFFRACTION,,0.1 M ACETATE BUFFER PH 5.5 AND 30-60% AMMONIUM SULFATE,5.5,1999,198,1.85,1B6N,22253.15
HYDROLASE/HYDROLASE INHIBITOR,,,2.17,43.35,X-RAY DIFFRACTION,,0.1 M ACETATE BUFFER PH 5.5 AND 30-60% AMMONIUM SULFATE,5.5,1999,198,1.85,1B6O,22268.12
HYDROLASE/HYDROLASE INHIBITOR,,,2.17,43.22,X-RAY DIFFRACTION,Protein,0.1 M ACETATE BUFFER PH 5.5 AND 30-60% AMMONIUM SULFATE,5.5,1999,198,2,1B6P,22487.4
TRANSCRIPTION REGULATION,,,1.8,35,X-RAY DIFFRACTION,Protein,pH 4.3,4.3,1999,63,1.8,1B6Q,7263.08
LYASE,,,3.4,64,X-RAY DIFFRACTION,Protein,"100MM HEPPS, PH 7.8 0.575 M AMMONIUM SULFATE",7.8,1999,355,2.1,1B6R,39624.06
LYASE,,,3.3,62,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,1420,2.5,1B6S,159921.97
TRANSFERASE,,,2.88,0.57,X-RAY DIFFRACTION,Protein,pH 5.,5,1999,318,1.8,1B6T,36694.99
KILLER CELL INHIBITORY RECEPTOR,,,3.05,60,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,257,3,1B6U,28189.14
MOLECULAR EVOLUTION,,,2.34,47.5,X-RAY DIFFRACTION,Protein,pH 4.3,4.3,1999,248,2,1B6V,27467.23
DNA BINDING PROTEIN,,,2.18,43.48,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,2000,69,2.05,1B6W,7776.84
DNA,,,,,SOLUTION NMR,DNA,,,1997,22,,1B6X,6732.42
DNA,,,,,SOLUTION NMR,DNA,,,1996,22,,1B6Y,6716.42
LYASE,,,4.11,70.06,X-RAY DIFFRACTION,Protein,"1.6 M AMMONIUM SULFATE 0.1 M TRIS/HCL, PH 9.2",9.2,1999,280,2,1B6Z,31881.15
LIGASE,"VAPOR DIFFUSION, HANGING DROP",313,3.8,70,X-RAY DIFFRACTION,Protein,"CRYSTALS WERE GROWN BY THE HANGING-DROP TECHNIQUE AT 4O C WITH AMMONIUM SULFATE AS PRECIPITANT. EACH DROPLET OF THE PHENYLALANYL-TRNA SYNTHETASE SOLUTION (10 M L) AT A PROTEIN CONCENTRTION OF 3 TO 5 MG PER ML IN 20 AMM IMIDASOL-HCL BUFFER (PH 7.8), 1 MM MGCL2, 1 MM NAN3 AND 15% SATURATED AMMONIUM SULFATE WAS EQUILIBRATED WITH 1 ML 25 TO 30% SATURATED AMMONIUM SULFATE IN THE SAME BUFFER. CRYSTALS  APPEARED AFTER ONE TO TWO WEEKS AND GREW UP TO MAXIMAL DIMENSIONS (0.4MMX0.4MMX0.25 MM) IN A FEW WEEKS., pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 313K",7,1999,1135,2.7,1B70,126219.35
ELECTRON TRANSPORT,,,2.32,47.07,X-RAY DIFFRACTION,Protein,pH 8,8,1999,191,1.9,1B71,21754.38
PROTEIN/DNA,,,2.3,47,X-RAY DIFFRACTION,Protein#DNA,pH 8.0,8,1999,224,2.35,1B72,33783.44
ISOMERASE,,,2.48,50.49,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,254,2.3,1B73,27978.7
ISOMERASE,,,2.48,50.49,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,254,2.3,1B74,28124.85
RNA BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1998,94,,1B75,10713.46
LIGASE,,297,3.6,61,X-RAY DIFFRACTION,Protein,"pH 8.0, temperature 297K",8,1999,884,3.4,1B76,103304.26
SLIDING CLAMP,,,2.8,47,X-RAY DIFFRACTION,Protein,"16-18% PEG 8000, 0.2 M CA ACETATE PH7.5",7.5,1999,684,2.1,1B77,75400.42
STRUCTURAL GENOMICS,,,2.57,52.12,X-RAY DIFFRACTION,Protein,pH 6.50,6.5,1999,386,2.2,1B78,44464.91
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",,2.36,53,X-RAY DIFFRACTION,Protein,"pH 6.9, VAPOR DIFFUSION, HANGING DROP",6.9,1999,476,2.3,1B79,52890.87
LIPID BINDING PROTEIN,,,2.18,44,X-RAY DIFFRACTION,Protein,"25-27% PEG8000, 100 MM PHOSPHORYLETHANOLAMINE, pH 4.3",4.3,1998,372,2.25,1B7A,42049.21
TRANSFERASE,,,2.62,52.62,X-RAY DIFFRACTION,Protein,"PEG 4000, (NH4)2SO4, SODIUM CACODYLATE, pH 6.4",6.4,1999,1240,2.8,1B7B,132218.56
ELECTRON TRANSPORT,,,2.08,38,X-RAY DIFFRACTION,,3.2 M AMMONIUM SULPHATE IN 100 MM SODIUM CITRATE BUFFER PH 5.0,5,1998,71,0.97,1B7C,7732.42
TOXIN,,,1.81,32.84,X-RAY DIFFRACTION,Protein,pH 6.0,6,1999,61,1.73,1B7D,6995.98
TRANSFERASE INHIBITOR,,,2.84,57,X-RAY DIFFRACTION,Protein,pH 6.0,6,1999,420,2.9,1B7E,48503.14
RNA-BINDING PROTEIN/RNA,"VAPOR DIFFUSION, HANGING DROP",,2.8,59,X-RAY DIFFRACTION,Protein#RNA,"pH 7.0, VAPOR DIFFUSION, HANGING DROP",7,1999,360,2.6,1B7F,45357.38
OXIDOREDUCTASE,,,3.1,60,X-RAY DIFFRACTION,Protein,pH 6.50,6.5,1999,680,2.05,1B7G,76415.99
PEPTIDE BINDING PROTEIN,,,2.26,45.6,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,520,2,1B7H,59744.57
ANTIFREEZE PROTEIN,,,2.13,42.13,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,66,1.65,1B7I,7007.25
ANTIFREEZE PROTEIN,,,2.14,42.41,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,66,1.65,1B7J,6951.18
ANTIFREEZE PROTEIN,,,2.13,42.24,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,66,2.5,1B7K,6960.19
HYDROLASE,,,1.93,36.28,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,1.8,1B7L,14785.76
HYDROLASE,,,1.96,37.28,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,2.2,1B7M,14803.8
HYDROLASE,,,1.93,36.15,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,1.8,1B7N,14727.73
HYDROLASE,,,1.92,35.86,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,1.8,1B7O,14814.76
HYDROLASE,,,1.98,38.03,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,2,1B7P,14662.59
HYDROLASE,,,1.9,35.34,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,2,1B7Q,14742.74
HYDROLASE,,,1.99,38.2,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,1.8,1B7R,14672.61
MUTANT STABILITY,,,1.91,35.45,X-RAY DIFFRACTION,Protein,pH 4.5,4.5,1999,130,2,1B7S,14731.63
MYOSIN,,,3.11,64,X-RAY DIFFRACTION,Protein,pH 8.0,8,1999,1147,2.5,1B7T,131029.81
METAL BINDING PROTEIN,"VAPOR DIFFUSION, HANGING DROP",,2.49,51,X-RAY DIFFRACTION,Protein,"pH 8.5, VAPOR DIFFUSION, HANGING DROP",8.5,1999,689,3.8,1B7U,75371.2
ELECTRON TRANSFER,"VAPOR DIFFUSION, HANGING DROP",293,2.1,41,X-RAY DIFFRACTION,Protein,"8MG/ML OF CYTOCHROME, 20MM TRIS.HCL, PH 8.0 AT 20 DEGREES C, HANGING DROPS IN HAMPTON RESEARCH 24-WELL LINBRO PLATES, VAPOR DIFFUSION, HANGING DROP, temperature 293K",8,2000,71,1.7,1B7V,7732.42
HYDROLASE/HYDROLASE INHIBITOR,,,2.45,49.72,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,298,2.1,1B7X,34246.23
LIGASE,"VAPOR DIFFUSION, HANGING DROP",313,3.8,70,X-RAY DIFFRACTION,Protein,"HANGING-DROP TECHNIQUE AT 4O C WITH (NH4)2SO4 AS PRECIPITANT. EACH DROPLET OF THE PHENYLALANYL-TRNA SYNTHETASE SOLUTION (10 microliters) AT PROTEIN CONCENTRATION OF 3 TO 5 MG PER ML IN 20 MM IMIDASOL-HCL BUFFER (PH 7.8),  1 MM MGCL2, 1 MM NAN3 AND 15% SATURATED (NH4)2SO4 IN THE SAME BUFFER. CRYSTALS APPEARED AFTER ONE TO TWO WEEKS AND GREW UP TO THE MAXIMAL DIMENSIONS OF 0.4X0.4X0.25 MM IN A FEW WEEKS, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 313K",7,1999,1135,2.5,1B7Y,126534.57
METAL TRANSPORT,,,2.72,55,X-RAY DIFFRACTION,Protein,30 MG/ML PROTEIN IN 0.025M TRIS-HCL   DIALYZED AGAINST SAME BUFFER MADE AS   10% (V/V) ETHANOL AT PH 8.5,8.5,1999,689,2.7,1B7Z,75658.93
OXIDOREDUCTASE,,,2.6,53,X-RAY DIFFRACTION,Protein,17 % PEG 6000 PH 3.5,3.5,2001,702,1.73,1B80,76386.73
OXIDOREDUCTASE,,,2.6,53,X-RAY DIFFRACTION,Protein,pH 3.5,3.5,2001,702,1.8,1B82,76354.73
OXIDOREDUCTASE,,,2.6,53,X-RAY DIFFRACTION,Protein,pH 4.0,4,2001,702,1.85,1B85,76276.66
OXYGEN TRANSPORT,,,2.4,48,X-RAY DIFFRACTION,Protein,pH 7.2,7.2,1993,574,2.5,1B86,64877.09
TRANSFERASE,,,3.2,62,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,181,2.7,1B87,21411.64
IMMUNE SYSTEM,"VAPOR DIFFUSION, HANGING DROP",,3.76,67,X-RAY DIFFRACTION,Protein,"SODIUM FORMATE, pH 7.0, VAPOR DIFFUSION, HANGING DROP",7,1999,228,2.5,1B88,25398.34
CLATHRIN,,,4.16,52,X-RAY DIFFRACTION,Protein,"250 MM SODIUM FORMATE, 100 MM TRIS-HCL, PH 8, pH 8.0",8,1999,449,2.6,1B89,52683.63
LIGASE,,,3.33,63.09,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1998,876,1.9,1B8A,103304.79
OXIDOREDUCTASE,,,4.3,72,X-RAY DIFFRACTION,,,7.5,1999,534,2.75,1B8B,59953.27
CALCIUM BINDING PROTEIN,,,1.79,41.83,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS: 40% PEG 4000, 200 MM MGCL2, 50 M PH 7. THE  CRYSTALS WERE GROWN AT 4 DEGREES C., pH 7.0",7,1999,216,2,1B8C,22912.19
PHOTOSYNTHESIS,,,2.5,51,X-RAY DIFFRACTION,Protein,"700MM SODIUM ACETATE,5MM KCL,100MM IMIDAZOLE, PH 7.5 AT 17C",7.5,1999,688,1.9,1B8D,78947.25
TRANSPORT PROTEIN,"VAPOR DIFFUSION, HANGING DROP",,2.1,41,X-RAY DIFFRACTION,Protein,"METHOD IN PRESENCE OF AMMONIUM SULPHATE 2.5 M, 180MM TRIZMA BUFFER AT A PROTEIN CONCENTRATION OF 20MG/ML, pH 7.9, VAPOR DIFFUSION, HANGING DROP",7.9,2001,162,1.95,1B8E,18301.17
LYASE,,,2.8,56,X-RAY DIFFRACTION,Protein,"CRYSTALLIZED FROM 2.0 M (NH4)2SO4, 1 % GLYCEROL, 2 % PEG 400, 0.1 M HEPES AT pH 8.1. 20 % (V/V) GLYCEROL WERE USED AS CRYOPROTECTANT",8.1,1999,507,2.1,1B8F,53807.38
LYASE,,,2.4,46,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,858,2.37,1B8G,97021.95
TRANSFERASE,"VAPOR DIFFUSION, HANGING DROP",,2.8,47,X-RAY DIFFRACTION,Protein,"pH 7.5, VAPOR DIFFUSION, HANGING DROP",7.5,1999,695,3,1B8H,76751.01
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,2.2,40,X-RAY DIFFRACTION,Protein#DNA,"0.6M AMMONIUM PHOSPHATE, pH 4.5, VAPOR DIFFUSION, HANGING DROP",4.5,1999,174,2.4,1B8I,26730.09
ALKALINE PHOSPHATASE,,,3.3,62.96,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS: 65 % SATURATING (NH4)2SO4, 100 MM TRIS, 10 MM MGCL2, 1 MM ZNCL2, 0.1 MM NH4VO3, PH 7.5",7.5,1999,898,1.9,1B8J,94921.05
HORMONE/GROWTH FACTOR,,,2.48,50,X-RAY DIFFRACTION,Protein,CRYSTALLIZATION CONDITIONS: 7% ISOPROPANOL 185 MM NACITRATE PH 5.6,5.6,1999,119,2.15,1B8K,13649.4
CALCIUM BINDING PROTEIN,,,1.51,35.91,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS 40% PEG 4000, 50 MM CACL2, 50 M PH 7.0, 4 DEGREES C, pH 6.9",6.9,1999,108,1.7,1B8L,11531.88
GROWTH FACTOR/NEUROTROPHIN-4,,,2.53,50,X-RAY DIFFRACTION,Protein,pH 6.0,6,1999,249,2.75,1B8M,27480.22
TRANSFERASE,,,2.22,43,X-RAY DIFFRACTION,Protein,pH 8.0,8,2002,284,2,1B8N,32087.66
TRANSFERASE,,,2.22,43,X-RAY DIFFRACTION,Protein,"PEG-400, TRIS, MGCL2, K3PO4, pH 8.0",8,2001,284,1.5,1B8O,32072.64
OXIDOREDUCTASE,,,2.3,47,X-RAY DIFFRACTION,Protein,pH 7.0,7,1999,329,1.9,1B8P,35287.33
OXIDOREDUCTASE,,,,,SOLUTION NMR,Protein,,,1999,134,,1B8Q,14296.56
CALCIUM BINDING PROTEIN,,,2.06,40.42,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS: PH 5.0 - 5.5, 3.1 - 3.2 M AMMONIUM SULFATE 0.05 -  0.10 M CACL2, ROOM TEMPERATURE, pH 7.0",7,1999,108,1.9,1B8R,11569.98
FLAVOENZYME,"VAPOR DIFFUSION, HANGING DROP",,2.2,44,X-RAY DIFFRACTION,Protein,"PRECIPITANT CONDITIONS: 10-12% PEG 8000,  100MM SODIUM CACODYLATE PH 5.2,  75MM MNSO4  PROTEIN CONCENTRATION 8.5MG/ML   , VAPOR DIFFUSION, HANGING DROP",5.2,1999,504,1.65,1B8S,55754.24
CONTRACTILE,,,,,SOLUTION NMR,Protein,,,1999,192,,1B8T,20609.95
OXIDOREDUCTASE,,,2.3,47,X-RAY DIFFRACTION,Protein,pH 7.0,7,1999,329,2.5,1B8U,36081.82
OXIDOREDUCTASE,,,2.3,47,X-RAY DIFFRACTION,Protein,pH 7.0,7,1999,329,2.1,1B8V,35950.75
TOXIN,,,,,SOLUTION NMR,Protein,,,1999,42,,1B8W,4968.68
SIGNAL PROTEIN,,,2.05,50,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1998,280,2.7,1B8X,32124.12
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",,2.6,51.35,X-RAY DIFFRACTION,Protein,"pH 6.5, VAPOR DIFFUSION, HANGING DROP",6.5,1999,167,2,1B8Y,19511.48
DNA BINDING PROTEIN,,,2.3,46,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1998,180,1.6,1B8Z,20036.2
